Centre,Left,Right,Steering,Brake,Throttle,Speed
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_47_981.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_47_981.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_47_981.jpg, 0, 0, 0, 7.940191E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_082.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_082.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_082.jpg, 0, 0, 0, 7.93931E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_187.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_187.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_187.jpg, 0, 0, 0, 7.818997E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_289.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_289.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_289.jpg, 0, 0, 0, 8.070693E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_390.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_390.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_390.jpg, 0, 0, 0, 7.901547E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_494.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_494.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_494.jpg, 0, 0, 0, 7.82705E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_595.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_595.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_595.jpg, 0, 0, 0, 8.132946E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_698.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_698.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_698.jpg, 0, 0, 0, 7.945559E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_802.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_802.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_802.jpg, 0, 0, 0, 7.824332E-05
C:\Udacity\simulator-windows-64\IMG\center_2019_02_24_21_19_48_908.jpg, C:\Udacity\simulator-windows-64\IMG\left_2019_02_24_21_19_48_908.jpg, C:\Udacity\simulator-windows-64\IMG\right_2019_02_24_21_19_48_908.jpg, 0, 0, 0, 7.827506E-05
